label,slug,title,discountPrice,soldQuantity,quantity,brand,series,totalRating,features,color,Năm ra mắt,Xuất xứ,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Mô tả ram,Ổ cứng,Dung lượng ổ cứng,Tần số quét,Chất liệu tấm nền,Kích thước màn hình,Công nghệ màn hình,Độ phân giải màn hình,Công nghệ âm thanh,Chất liệu,Kích thước,Trọng lượng,Tính năng đặc biệt,Loại đèn bàn phím,Bảo mật,Webcam,Hệ điều hành,Pin,Wi-Fi,Bluetooth,Cổng giao tiếp
Gaming,laptop-acer-gaming-nitro-16-phoenix-an16-41-r50z,Laptop Acer Gaming Nitro 16 Phoenix AN16-41-R50Z,19000000,91,58,acer,nitro,2.6,"Màn hình 16 inch WUXGA IPS và tần số quét 165Hz mang lại trải nghiệm hình ảnh tuyệt vời, với màu sắc chân thực và độ tương phản cao. Hiệu năng mạnh mẽ - đảm bảo hiệu suất gaming mạnh mẽ và khả năng xử lý đồ họa tốt, mang lại trải nghiệm chơi game mượt mà và ổn định. RAM 8GB DDR5 và ổ cứng 512 GB SSD NVMe cho khả năng xử lý tác vụ đa nhiệm và lưu trữ dữ liệu một cách nhanh chóng và hiệu quả. Thiết kế mạnh mẽ và hiện đại thể hiện sự chuyên nghiệp và phong cách trong mọi tình huống.",Đen,2023,Singapore,NVIDIA GeForce RTX 4050 6GB GDDR6  AMD Radeon 760M,"AMD Ryzen 5 7640HS ( 4.3 GHz - 5.0 GHz / 16MB / 6 nhân, 12 luồng )",8GB,DDR5 5600MHz,"8GB DDR5 5600MHz 2 khe (1 khe trống, nâng cấp tối đa 32 GB)",512GB SSD M.2 NVMe (2 x M.2 NVMe),512GB,165Hz,Tấm nền IPS,16 inches,,1920 x 1200 pixels (WUXGA),,,360.1 x 279.9 x 25.9 - 27.9 mm,2.7 kg,Wi-Fi 6,RGB,,HD webcam,Windows 11 Home,"4 cell 90 Wh , Pin liền",WiFi 802.11ax (Wifi 6),Bluetooth v5.1,2 x USB Type C 2 x USB 3.2 1 x USB 2.0  1 x Khe cắm thẻ nhớ micro SD Audio combo  LAN 1 Gb/s1 x HDMI
Gaming,laptop-lenovo-legion-5-16irx9-83dg0051vn,Laptop Lenovo Legion 5 16IRX9 83DG0051VN,25000000,26,28,lenovo,legion,1.3,"Bộ vi xử lý Intel Core i7-14650HX, card đồ họa RTX 4060 8GB và RAM 16GB DDR5 mang đến khả năng xử lý mượt mà các tác vụ nặng như chơi game, thiết kế đồ họa và dựng video. Màn hình 16 inch WQXGA (2560x1600) IPS với tần số quét 165Hz, công nghệ Dolby Vision, FreeSync và G-SYNC cho hình ảnh sắc nét, sống động và trải nghiệm chơi game mượt mà. Kết nối đa dạng: Wi-Fi 6E, Bluetooth 5.2 và nhiều cổng kết nối USB-A, USB-C và jack cắm tai nghe 3.5mm đáp ứng mọi nhu cầu kết nối của bạn. Vỏ máy bằng nhựa với thiết kế hầm hố, cá tính cùng hệ thống đèn bàn phím RGB tạo nên vẻ ngoài bắt mắt và thu hút.",Xám,2024,Singapore,NVIDIA GeForce RTX 4060 8GB GDDR6,"Intel Core i7-14650HX (16 nhân/ 24 luồng, upto 5.2 GHz, 30MB)",16GB,DDR5 5600MHz,16GB DDR5 5600MHz 1x 16GB (Hỗ trợ nâng cấp tối đa 64GB),1TB SSD M.2 2242 PCIe 4.0x4 NVMe (2 x M.2 SSD),1TB,165Hz,Tấm nền IPS,16 inches,Độ phủ màu: 100% sRGB G-SYNC Giảm ánh sáng xanh FreeSync,2560 x 1600 (WQXGA),"Loa âm thanh nổi, 2W x2  Nahimic Audio",,35.97 x 26.03 x (1.99-2.52) cm (W x D x H),2.36 kg,Wi-Fi 6,Đèn nền RGB,,FHD 1080p với màn trập riêng tư,Windows 11 Home,4 Cell,"Wi-Fi 6E, 11ax 2x2",Bluetooth 5.2,3x USB-A 3.2 2x USB-C 3.2  1x Jack cắm tai nghe
Gaming,laptop-asus-tuf-gaming-a14-fa401wv-rg061ws,Laptop ASUS TUF Gaming A14 FA401WV-RG061WS - Chỉ có tại CellphoneS,12000000,0,81,asus,tuf,1.2,"Trang bị bộ vi xử lý AMD Ryzen AI 9 HX, mang lại hiệu suất mạnh mẽ để đáp ứng nhu cầu chơi game và các tác vụ đòi hỏi sức mạnh xử lý cao. Máy có 32GB RAM và ổ cứng 1TB PCIe SSD, cung cấp không gian lưu trữ lớn và tốc độ truy xuất dữ liệu nhanh chóng. Card đồ họa rời NVIDIA RTX 4060, cho phép người dùng tận hưởng trải nghiệm gaming sống động và mượt mà. Máy được trang bị MUX Switch để người dùng có thể chuyển đổi giữa card đồ họa rời và card tích hợp, tùy theo nhu cầu sử dụng. Màn hình 14 inch 2.5K với tần số quét 165Hz, mang lại hình ảnh sắc nét và mượt mà, lý tưởng cho gaming và các tác vụ đòi hỏi độ phân giải cao.",Xám,2023,Đài Loan,NVIDIA GeForce RTX 4060 8GB GDDR6 AMD Radeon Graphics,"AMD Ryzen AI 9 HX 370 2.0GHz (36MB Cache, up to 5.1GHz, 12 cores, 24 Threads)  AMD Ryzen AI up to 81 TOPs",32GB,LPDDR5X 7500 Onboard ̣(2x 16GB),32GB LPDDR5X 7500 Onboard ̣(2x 16GB),1TB PCIe 4.0 NVMe M.2 SSD (Hỗ trợ nâng cấp tối đa 2TB),1TB,165 Hz,Tấm nền IPS,14 inches,Độ sáng 400nitsĐộ phủ màu SRGB 100.00%Màn hình chống chóiG-Sync,2560 x 1600 pixels (2K),Công nghệ chống ồn AI Dolby Atmos Chứng nhận Hi-Res (cho tai nghe) Hỗ trợ Microsoft Cortana trường gần/trường xa,,31.1 x 22.7 x 1.69 ~ 1.99 cm (W x D x H),1.46 Kg,"Wi-Fi 6, MUX Switch",Bàn phím Chiclet có đèn nền đèn đơn với phím Copilot,Mật khẩu quản trị viên BIOS và bảo vệ mật khẩu người dùng Bộ xử lý bảo mật Pluton Máy tính lõi bảo mật (Cấp độ 3),1080P FHD IR Camera for Windows Hello,Windows 11 Home,"73WHrs, 4S1P, 4-cell Li-ion (Sạc lại từ 0-50% trong 30 phút)",Wi-Fi 6E(802.11ax) (Triple band) 2*2,Bluetooth 5.3,1x Type-C USB 4 (DisplayPort / power delivery) 1x USB 3.2 Gen 2 Type-C (DisplayPort) 2x USB 3.2 Gen 2 Type-A 1x Đầu đọc thẻ (microSD) (UHS-II) 1x HDMI 2.1 FRL1x 3.5mm Combo Audio Jack
Gaming,laptop-dell-xps-15-9520,Laptop Dell XPS 15 9520,14000000,79,27,dell,xps,2.6,"Tấm nền OLED hỗ trợ cảm ứng đa điểm, cho phép bạn thao tác trực tiếp lên màn hình Bộ vi xử lý Intel Core i9 12900HK cân mọi tác vụ công việc, thoải mái sáng tạo, khởi chạy những tác vụ nặng một cách mượt mà Card đồ họa NVIDIA GeForce RTX 3050 Ti hỗ trợ chỉnh sửa ảnh, video, dựng hình 3D, lập trình và nhiều hoạt động chuyên sâu khác RAM 16GB cùng ổ cứng SSD 512GB cho khả năng xử lý đa nhiệm, mở máy, mở ứng dụng chỉ trong tích tắc Cảm biến vân tay mở khóa máy ngay lập tức mà không cần mật khẩu",Bạc,2021,Hàn Quốc,Intel Iris Xe  NVIDIA GeForce RTX 3050 Ti 4 GB GDDR6,"Intel Core i9 - 12900HK (3.80 GHz, up to 5.00 GHz, 14 lõi / 20 luồng, 24 MB)",16GB,DDR5 4800 MHz (Tối đa 64 GB),16GB DDR5 4800 MHz (Tối đa 64 GB) 2 khe 8GB,512 GB SSD M2. PCIe,512GB,,Tấm nền OLED/AMOLED,15.6 inches,Infinity Edge  Tần số quét 60 Hz  Độ sáng 400 nits  Độ phủ màu 100% DCI-P3,3456 x 2160 pixels,2 loa,Vỏ kim loại,344 x 230 x 19 mm,1.96 kg,"Wi-Fi 6, Màn hình cảm ứng, Bảo mật vân tay",LED,,RGB HD Camera,Windows 11 Home,6 Cell,Wifi 802.11 ax,Bluetooth	v5.2,1x Đầu đọc thẻ  1x Jack 3.5 mm 1x Type C 2x Thunderbolt
Gaming,laptop-dell-xps-9510,Laptop Dell XPS 9510,18000000,14,65,dell,xps,4.1,"Sở hữu thiết kế sang trọng với khung nhôm cứng cáp Màn hình 15.6 inch cùng tấm nền OLED cho độ phân giải 3456 x 2160 pixel màn nhãn với từng khung ảnh CPU Intel Core i7 11800H kết hợp RAM 16 GB cân mọi thao tác lướt web, thiết kế, chỉnh sửa chuyên nghiệp Ổ cứng SSD 1024GB cho không gian rộng rãi lưu trữ mọi file, dữ liệu Hỗ trợ cảm ứng siêu mượt giúp mọi thao tác thiết kế cực nhanh gọn",Trắng,2022,Đài Loan,Intel UHD Graphics  Nvidia Geforce RTX3050Ti,Intel Core i7 11800H (8 nhân / 16 luồng),16GB,DDR4 bus 3200MHz (Nâng cấp tối đa 64GB),16GB DDR4 bus 3200MHz (Nâng cấp tối đa 64GB),SSD 1024GB M.2 2,SSDGB,,Tấm nền OLED/AMOLED,15.6 inches,Độ phủ màu 100% sRGB  Tần số quét 60 Hz,3456 x 2160 pixels,,Vỏ kim loại,344.40 x 230.30 x 18.00 mm (Dài x Rộng x Dày),2.04 kg,"Wi-Fi 6, Màn hình cảm ứng, Nhận diện khuôn mặt",,,720p,Window 10 Home,86 WHr,Killer AX1650s,,3x Type-C 1x Jack 3.5 mm 1x Thunderbolt
Gaming,laptop-asus-tuf-gaming-a15-fa506nf-hn005w,Laptop ASUS TUF Gaming A15 FA506NF-HN005W,15990000,73,25,asus,tuf,2.9,"Bộ xử lý AMD Ryzen™ 5 mang tới hiệu năng mạnh mẽ cho mọi tác vụ Màn hình Full HD, tần số quét 144Hz hỗ trợ chơi game sống động với tốc độ nhanh Card Geforce RTX 2050 cải thiện hiệu suất xử lý đồ họa và đảm bảo trải nghiệm chơi game tuyệt vời RAM 8GB cùng ổ cứng 512 GB SSD rút ngắn thời gian mở máy, khởi động ứng dụng",Đen,2024,Nhật Bản,NVIDIA® GeForce RTX™ 2050,"AMD Ryzen™ 5 7535HS Processor 3.3GHz (19MB Cache, up to 4.55 GHz, 6 Nhân, 12 Luồng)",8GB,8GB DDR5-4800MHz,8GB 8GB DDR5-4800MHz  2 khe SO-DIMM (Nâng cấp tối đa 32GB),512GB PCIe® 4.0 NVMe™ M.2 SSD,512GB,144 Hz,Tấm nền IPS,15.6 inches,"Tần số quét 144HzĐộ sáng 250nits  Độ phủ màu: NTSC 45%, SRGB 62.5%, Adobe 47.34%  Màn hình chống chói  Adaptive-Sync",1920 x 1080 pixels (FullHD),2 loa Công nghệ chống ồn trí tuệ nhân tạo (AI)Phần mềm DTSChứng nhận Hi-Res,,35.9 x 25.6 x 2.28 ~ 2.45 cm (W x D x H),2.30 kg,Wi-Fi 6,"Bàn phím Chiclet có đèn nền, hỗ trợ 1 vùng màu RGB",Mật khẩu quản trị BIOS và Bảo vệ mật khẩu người dùngKhe an toàn Kensington Security Slot™Module Nền tảng Tin cậy (TPM Firmware),720P HD camera,Windows 11 Home,"48WHrs, 3S1P, 3-cell Li-ion",Wi-Fi 6 (802.11ax) (Dual band) 2*2,Bluetooth 5.3,1x Cổng LAN RJ451x Cổng USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort™3x Cổng USB 3.2 Gen 2 Type-A
Gaming,laptop-asus-tuf-gaming-f15-fx507vu-lp197w,Laptop ASUS TUF Gaming F15 FX507VU-LP197W,25000000,29,2,asus,tuf,1.1,"Cấu hình tuyệt vời với card đồ họa NVIDIA RTX 4050 - Cho trải nghiệm game mượt mà, đưa bạn vào không gian giải trí sống động tuyệt vời. 32GB RAM DDR5 có khả năng vận hành mượt mà nhiều ứng dụng trong cùng thời điểm. Cặp loa Dolby Atmos cung cấp âm thanh độ phân giải cao, giúp tái hiện từng tiết tấu âm thanh đều cực kỳ trong trẻo. Hệ thống tản nhiệt của sản phẩm vận hành cực kỳ êm ái, tránh gây tiếng ồn làm phiền người dùng trong quá trình chơi game hay làm việc.",Xám,2024,Đài Loan,NVIDIA GeForce RTX 4050 6GB GDDR6  Intel Iris Xe Graphics,"Intel Core i7-13620H (2.4 GHz, 24M Cache, up to 4.9 GHz, 10 lõi: 6 P-cores và 4 E-cores)",32GB,DDR5-4800 SO-DIMM,"32GB DDR5-4800 SO-DIMM 2 khe (1 khe 16GB DDR5 + 1 khe 16GB DDR5, tối đa 32GB)",512GB PCIe 4.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 2TB),512GB,144 Hz,Tấm nền IPS,15.6 inches,"Độ sáng 250 nits  Tương phản 1000:1 contrastĐộ phủ màu 72% NTSC, 100% SRGB, 75.35% AdobeMàn hình chống chói G-Sync",1920 x 1080 pixels (FullHD),Công nghệ khử tiếng ồn AI  Dolby AtmosChứng nhận Hi-Res (dành cho tai nghe)Hỗ trợ Microsoft Cortana trường gần/trường xa,Vỏ nhựa,35.4 x 25.1 x 2.24 ~ 2.49 cm,2.20 kg,Wi-Fi 6,Backlit Chiclet Keyboard 1-Zone RGB,Bảo vệ mật khẩu quản trị viên BIOS và mật khẩu người dùng Khe bảo mật Kensington Mô-đun nền tảng đáng tin cậy (Firmware TPM),720P HD camera,Windows 11 Home,"90WHrs, 4S1P, 4-cell Li-ion",Wi-Fi 6(802.11ax) (Dual band) 2*2,Bluetooth 5.2,1x RJ45 LAN1x Thunderbolt 4 (DisplayPort)1x USB 3.2 Gen 2 Type-C (DisplayPort / Sạc / G-SYNC)2x USB 3.2 Gen 1 Type-A1x HDMI 2.1 FRL1x 3.5mm Combo Audio Jack
Gaming,laptop-asus-gaming-rog-zephyrus-g14-ga403uv-qs170w,Laptop ASUS Gaming ROG Zephyrus G14 GA403UV-QS170W,19000000,62,27,asus,rog,0.0,"Hiệu năng mạnh mẽ với GPU NVIDIA GeForce RTX 4060 cho khả năng xử lý đa nhiệm mượt mà, chơi game và làm việc đồ họa chuyên nghiệp. Bàn phím Chiclet với đèn nền RGB 1 vùng cho khả năng tùy chỉnh màu sắc và hiệu ứng ánh sáng. Công nghệ âm thanh Dolby Atmos tạo hiệu ứng âm thanh vòm 3D, giúp bạn đắm chìm trong thế giới game và phim ảnh. Thiết kế sang trọng, lựa chọn hoàn hảo cho những người đam mê công nghệ và phong cách.",Trắng,2023,Đài Loan,NVIDIA GeForce RTX 4060 8GB GDDR6  AMD Radeon Graphics,"AMD Ryzen 9 8945HS 4GHz (24MB Cache, up to 5.2 GHz, 8 lõi, 16 luồng)",32GB,LPDDR5X 6400 Onboard,32GB LPDDR5X 6400 Onboard,1 TB PCIe 4.0 NVMe M.2 SSD,1TB,120Hz,Tấm nền Oled,14 inches,Độ sáng 500 nits Độ phủ màu 100% DCI-P3Glossy displayG-Sync / Adaptive-SyncROG Nebula DisplayDolby Vision HDR,2880 x 1800 pixels,Hệ thống 4 loa (woofer lực kép) với Công nghệ Smart Amplifier 2 TweeterCông nghệ chống ồn AI Dolby AtmosChứng nhận Hi-Res (dành cho tai nghe) Công nghệ Smart Amp,,31.1 x 22.0 x 1.59 ~ 1.63 cm (W x D x H),1.50 Kg,"Wi-Fi 6, Màn hình Oled",RGB 1 vùng,Mật khẩu quản trị viên BIOS Bảo vệ mật khẩu người dùng,1080P FHD IR Camera for Windows Hello,Windows 11 Home,"73WHrs, 4S1P, 4-cell Li-ion",Wi-Fi 6E(802.11ax) (Triple band) 2*2,Bluetooth 5.3,"1x USB Type-C 4 hỗ trợ DisplayPort / cấp nguồn1x USB 3.2 Thế hệ 2 Type-C hỗ trợ DisplayPort2x USB 3.2 Thế hệ 2 Loại A1x đầu đọc thẻ (microSD) (UHS-II) 1x HDMI 2.1 FRL 1x Giắc âm thanh kết hợp 3,5mm"
Gaming,laptop-lenovo-loq-15irx9-83dv00ervn,Laptop Lenovo LOQ 15IRX9 83DV00ERVN,18000000,70,78,lenovo,loq,1.9,"Trang bị bộ vi xử lý Intel Core i7giúp xử lý tác vụ nhanh chóng và mượt mà Card đồ họa NVIDIA GeForce RTX 4060 cho trải nghiệm gaming mượt mà với mức đồ họa cao Bộ nhớ RAM 16GB đảm bảo hiệu suất ổn định và đáp ứng nhu cầu đa nhiệm Ổ cứng SSD 512GB, cho dung lượng lớn và tốc độ truy xuất dữ liệu nhanh chóng Màn hình 15.6 inch FHD cùng tần sốt quét 144Hz hỗ trợ G-SYNC, cho bạn trải nghiệm giây phút chơi game tuyệt vời",Xám,2022,Trung Quốc,"NVIDIA GeForce RTX 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 105W","Intel Core i7-13650HX (16 nhân/ 20 luồng, upto 4.9GHz, 24MB)",16GB,DDR5-4800,16GB DDR5-4800 1 khe trống DDR5 SO-DIMM (Nâng cấp tối đa 32 GB),512GB SSD M.2 2242 PCIe 4.0x4 NVMe (1 thanh trống nâng cấp tối đa 1TB),512GB,144 Hz,Tấm nền IPS,15.6 inches,Độ sáng tối đa 300 nits Màn hình chống chói Độ phủ màu 100% sRGB G-SYNC,1920 x 1080 pixels (FullHD),"Âm thanh độ phân giải cao (HD)  codec Realtek ALC3287 Loa âm thanh nổi, 2W x2  Nahimic Audio",Vỏ nhựa,359.86 x 258.7 x 21.9-23.9 mm (W x D x H),2.38 kg,Wi-Fi 6,,Firmware TPM 2.0 Enabled,FHD 1080p với màn trập E-shutter,Windows 11 Home Single Language,60Wh,"Wi-Fi 6, 11ax 2x2",Bluetooth 5.2,3x USB-A 1x USB-C 1x HDMI 1 x Jack cắm tai nghe 1x Ethernet (RJ-45) 1x Power connector
Gaming,laptop-gigabyte-g5-kf5-53vn383sh,Laptop Gigabyte G5 KF5-53VN383SH,12000000,28,23,gigabyte,g5,2.4,"Sở hữu thiết kế đẹp mắt, gam màu đen sang trọng CPU Intel Core i5-13500H xử lý nhanh chóng mọi tác vụ học tập, văn phòng Card đồ họa RTX 4060 cân mọi tựa game với mức đồ họa cao nhất RAM 8GB cùng ổ cứng 512GB cho không gian lưu trữ rộng rãi, hỗ trợ mở máy nhanh chóng Màn hình 15.6 inch Full HD rộng rãi, tần số quét 144Hz bắt kịp mọi thao tác của đối thủ  ",Đen,2023,Nhật Bản,NVIDIA Geforce RTX 4060 6GB GDDR6,"Intel Core i5-13500H (12 lõi/ 16 luồng, 4.70 GHz, 18 MB)",8GB,DDR5 4800Mhz,8GB DDR5 4800Mhz 2 khe (Nâng cấp tối đa 64GB),512GB SSD PCIe Gen4x4 Slot (1 khe PCIe 3.0),512GB,144 Hz,,15.6 inches,,1920 x 1080 pixels (FullHD),2 loa,,,2.08 kg,,,,HD Camera,Windows 11 Home,54WHrs,Intel Wifi,Có,1x USB 2.0 (Type-A) 1x USB3.2 Gen1 (Type-A) 2x USB3.2 Gen2 (Type-C) 1x Mini DisplayPort 1.4 1x Cổng ra HDMI I (with HDCP) 1x Audio combo jack 1x Microphone jack 1x Đầu đọc thẻ SD
