"label","title","discountPrice","soldQuantity","quantity","brand","series","totalRating","features","color","Năm ra mắt","Xuất xứ","Loại card đồ họa","Loại CPU","Dung lượng RAM","Loại RAM","Mô tả ram","Ổ cứng","Dung lượng ổ cứng","Tần số quét","Chất liệu tấm nền","Kích thước màn hình","Công nghệ màn hình","Độ phân giải màn hình","Công nghệ âm thanh","Chất liệu","Kích thước","Trọng lượng","Tính năng đặc biệt","Loại đèn bàn phím","Bảo mật","Webcam","Hệ điều hành","Pin","Wi-Fi","Bluetooth","Cổng giao tiếp"
"Gaming","Laptop Acer Gaming Nitro 16 Phoenix AN16-41-R50Z",19000000,91,58,"acer","nitro","2.6","Màn hình 16 inch WUXGA IPS và tần số quét 165Hz mang lại trải nghiệm hình ảnh tuyệt vời, với màu sắc chân thực và độ tương phản cao. Hiệu năng mạnh mẽ - đảm bảo hiệu suất gaming mạnh mẽ và khả năng xử lý đồ họa tốt, mang lại trải nghiệm chơi game mượt mà và ổn định. RAM 8GB DDR5 và ổ cứng 512 GB SSD NVMe cho khả năng xử lý tác vụ đa nhiệm và lưu trữ dữ liệu một cách nhanh chóng và hiệu quả. Thiết kế mạnh mẽ và hiện đại thể hiện sự chuyên nghiệp và phong cách trong mọi tình huống.","Đen","2023","Singapore","NVIDIA GeForce RTX 4050 6GB GDDR6  AMD Radeon 760M","AMD Ryzen 5 7640HS ( 4.3 GHz - 5.0 GHz / 16MB / 6 nhân, 12 luồng )","8GB","DDR5 5600MHz","8GB DDR5 5600MHz 2 khe (1 khe trống, nâng cấp tối đa 32 GB)","512GB SSD M.2 NVMe (2 x M.2 NVMe)","512GB","165Hz","Tấm nền IPS","16 inches","","1920 x 1200 pixels (WUXGA)","","","360.1 x 279.9 x 25.9 - 27.9 mm","2.7 kg","Wi-Fi 6","RGB","","HD webcam","Windows 11 Home","4 cell 90 Wh , Pin liền","WiFi 802.11ax (Wifi 6)","Bluetooth v5.1","2 x USB Type C 2 x USB 3.2 1 x USB 2.0  1 x Khe cắm thẻ nhớ micro SD Audio combo  LAN 1 Gb/s1 x HDMI"
"Gaming","Laptop Lenovo Legion 5 16IRX9 83DG0051VN",25000000,26,28,"lenovo","legion","1.3","Bộ vi xử lý Intel Core i7-14650HX, card đồ họa RTX 4060 8GB và RAM 16GB DDR5 mang đến khả năng xử lý mượt mà các tác vụ nặng như chơi game, thiết kế đồ họa và dựng video. Màn hình 16 inch WQXGA (2560x1600) IPS với tần số quét 165Hz, công nghệ Dolby Vision, FreeSync và G-SYNC cho hình ảnh sắc nét, sống động và trải nghiệm chơi game mượt mà. Kết nối đa dạng: Wi-Fi 6E, Bluetooth 5.2 và nhiều cổng kết nối USB-A, USB-C và jack cắm tai nghe 3.5mm đáp ứng mọi nhu cầu kết nối của bạn. Vỏ máy bằng nhựa với thiết kế hầm hố, cá tính cùng hệ thống đèn bàn phím RGB tạo nên vẻ ngoài bắt mắt và thu hút.","Xám","2024","Nhật Bản","NVIDIA GeForce RTX 4060 8GB GDDR6","Intel Core i7-14650HX (16 nhân/ 24 luồng, upto 5.2 GHz, 30MB)","16GB","DDR5 5600MHz","16GB DDR5 5600MHz 1x 16GB (Hỗ trợ nâng cấp tối đa 64GB)","1TB SSD M.2 2242 PCIe 4.0x4 NVMe (2 x M.2 SSD)","1TB","165Hz","Tấm nền IPS","16 inches","Độ phủ màu: 100% sRGB G-SYNC Giảm ánh sáng xanh FreeSync","2560 x 1600 (WQXGA)","Loa âm thanh nổi, 2W x2  Nahimic Audio","","35.97 x 26.03 x (1.99-2.52) cm (W x D x H)","2.36 kg","Wi-Fi 6","Đèn nền RGB","","FHD 1080p với màn trập riêng tư","Windows 11 Home","4 Cell","Wi-Fi 6E, 11ax 2x2","Bluetooth 5.2","3x USB-A 3.2 2x USB-C 3.2  1x Jack cắm tai nghe"
"Văn phòng","Laptop Lenovo Thinkpad T14 gen 2",15000000,90,68,"lenovo","thinkpad","3.2","Sở hữu thiết kế sang trọng, thích hợp mang theo bên mình Trang bị CPU i7 1165G7 mạnh mẽ, xử lý tốt các tác vụ văn phòng Ổ cứng SSD dung lượng 2TB giúp bạn lưu trữ dữ liệu tốt Trang bị nhiều cổng kết nối giuaps quá trình nhận, xuất dữ liệu trở nên dễ dàng Màn hình 14 inch cùng độ sáng tối đa 500nits giúp bạn tận hưởng hình ảnh trở nên tốt hơn","Đen","2024","Singapore","Intel UHD tích hợpIntel Iris Xe Graphics","Intel Core i7 1165G7 2.80 GHz (up to 4.70 GHz, 4 nhân/ 8 lòi, 12 MB cache)","32GB","DDR4 3200MHz","32GB DDR4 3200MHz","SSD PCIe 2TB (512 GB SSD NVMe PCIe, Nâng cấp tối đa 2 TB)","512GB","","Tấm nền IPS","14 inches","Độ sáng 500Nits  PrivacyGuard Cảm ứng On-Cell","1920 x 1080 pixels (FullHD)","Hệ thống loa Audio Micrô trường xa đôi","","17.9 x 329 x 227mm (Dài x Rộng x Cao)","1.47 kg","Wi-Fi 6, Bảo mật vân tay","","Màn trập bảo mật webcam Bảo vệ quyền riêng tư Trusted Platform Module rời (dTPM) 2.0 Đầu đọc vân tay cảm ứng Khe khóa Kensington","720p HD","Windows 11 Pro","","Wifi 6E","Có","2 x USB-A 3.1 Gen 1 (1 luôn bật) 2 x USB-C Thunderbolt 3 1 x Đầu đọc thẻ MicroSD 1 x Đầu đọc thẻ thông minh 1 x Tai nghe/micrô kết hợp 1 x HDMI 2.0 1 x RJ45 (Optional)"
"Văn phòng","Laptop Lenovo Thinkpad X1 Carbon gen 6",20000000,41,4,"lenovo","thinkpad","4.2","May có thiết kế mỏng, trọng lượng nhẹ chỉ 1.13 kg giúp bạn không cảm giác quá nặng trong quá trình di chuyển Màn hình 14 inch phù hợp cho nhu cầu làm việc và giải trí CPU i7 8550U mạnh mẽ, thích hợp giải quyết các tác vụ văn phòng RAM 256GB kết hợp cùng ổ cứng SSD giúp bạn mở các tab một cách nhanh chóng không bị lag máy","Đen","2022","Đài Loan","Intel UHD 620","Intel Core i7 8550U 1.8GHz (4 nhân / 8 lõi, up to 4GHz, 8MB cache)","16GB","LPDDR3 2133MHz","16GB LPDDR3 2133MHz 1 thanh RAM 16GB","256GB SSD","256GB","60 Hz","Tấm nền IPS","14 inches","Độ sáng tối đa 300 nits Độ phủ màu 90% sRGB","1920 x 1080 pixels (FullHD)","","","32.3 x 21.7 x 15.9 mm (Dài x Rộng x Cao)","1.13 kg","","","","HD Webcam","Windows 10 Pro","57WHr Li-ion","Wi-Fi 802.11ac","v5.0","2 x cổng USB Type A 3.1 Gen 1 2 x cổng USB Type C 1 x HDMI 1 x Jack tai nghe 3.5mm 1 x khe nanoSim  1x micro SD"
"Văn phòng","Laptop Lenovo Thinkpad X1 Carbon gen 9",15000000,59,52,"lenovo","thinkpad",0,"Sử dụng CPU i7-1165G7 cùng card đồ họa Intel Iris Xe giúp bạn xử lý hình ảnh tốt, giải quyết ổn thỏa các công việc văn phòng Màn hình 14 inch kết hợp với màn hình chống chói, tính năng giảm ánh sáng xanh giúp bạn vừa bảo vệ mắt vừa có thể trải nghiệm hình ảnh sắc nét RAM 32GB cùng ổ cứng SSD dung lượng 2TB giúp bạn lưu trữ được nhiều dữ liệu cùng chạy ổn thỏa nhiều tab cùng lúc Thiết kế màu đen sang trọng cùng trọng lượng mỏng nhẹ, chỉ 1.13 kg giúp bạn dễ dàng mang theo bên mình","Đen","2024","Singapore","Intel Iris Xe","Intel Core i7-1165G7 (4.70 GHz, 12MB cache), 4 nhân/ 8 luồng","32GB","LPDDR4X 4266MHz","32GB LPDDR4X 4266MHz","SSD PCIe 2TB Gen 4","2TB","","Tấm nền IPS","14 inches","Độ sáng tối đa 400 Màn hình chống chói Tính năng giảm ánh sáng xanh Độ phủ màu sRGB 100%","1920 x 1200 pixels (FullHD+)","Dolby Atmos","","14.9 x 314.5 x 221.6 mm (Dài x Rộng x Cao)","1.13 kg","Wi-Fi 6","Đèn nền LED trắng","Trusted Platform Module rời (dTPM) 2.0 Phát hiện sự hiện diện của người dùng bằng camera hồng ngoại Đầu đọc dấu vân tay Smart Power On tích hợp vào nút nguồn Màn che bảo mật webcam Khe khóa Kensington","HD 720p với màn trập bảo mật cho webcam","Windows 11 Pro","57Whr (MM18)","WiFi 6 802.11 AX","Bluetooth 5.2","2 x Thunderbolt 4 2 x USB-A 3.2 Gen 1 1 x Tai nghe/micrô kết hợp 1 x HDMI 2.0 1 x Khe cắm Nano SIM 1 x Khe khóa Kensington"
"Gaming","Laptop ASUS TUF Gaming A14 FA401WV-RG061WS - Chỉ có tại CellphoneS",12000000,0,81,"asus","tuf","1.2","Trang bị bộ vi xử lý AMD Ryzen AI 9 HX, mang lại hiệu suất mạnh mẽ để đáp ứng nhu cầu chơi game và các tác vụ đòi hỏi sức mạnh xử lý cao. Máy có 32GB RAM và ổ cứng 1TB PCIe SSD, cung cấp không gian lưu trữ lớn và tốc độ truy xuất dữ liệu nhanh chóng. Card đồ họa rời NVIDIA RTX 4060, cho phép người dùng tận hưởng trải nghiệm gaming sống động và mượt mà. Máy được trang bị MUX Switch để người dùng có thể chuyển đổi giữa card đồ họa rời và card tích hợp, tùy theo nhu cầu sử dụng. Màn hình 14 inch 2.5K với tần số quét 165Hz, mang lại hình ảnh sắc nét và mượt mà, lý tưởng cho gaming và các tác vụ đòi hỏi độ phân giải cao.","Xám","2023","Singapore","NVIDIA GeForce RTX 4060 8GB GDDR6 AMD Radeon Graphics","AMD Ryzen AI 9 HX 370 2.0GHz (36MB Cache, up to 5.1GHz, 12 cores, 24 Threads)  AMD Ryzen AI up to 81 TOPs","32GB","LPDDR5X 7500 Onboard ̣(2x 16GB)","32GB LPDDR5X 7500 Onboard ̣(2x 16GB)","1TB PCIe 4.0 NVMe M.2 SSD (Hỗ trợ nâng cấp tối đa 2TB)","1TB","165 Hz","Tấm nền IPS","14 inches","Độ sáng 400nitsĐộ phủ màu SRGB 100.00%Màn hình chống chóiG-Sync","2560 x 1600 pixels (2K)","Công nghệ chống ồn AI Dolby Atmos Chứng nhận Hi-Res (cho tai nghe) Hỗ trợ Microsoft Cortana trường gần/trường xa","","31.1 x 22.7 x 1.69 ~ 1.99 cm (W x D x H)","1.46 Kg","Wi-Fi 6, MUX Switch","Bàn phím Chiclet có đèn nền đèn đơn với phím Copilot","Mật khẩu quản trị viên BIOS và bảo vệ mật khẩu người dùng Bộ xử lý bảo mật Pluton Máy tính lõi bảo mật (Cấp độ 3)","1080P FHD IR Camera for Windows Hello","Windows 11 Home","73WHrs, 4S1P, 4-cell Li-ion (Sạc lại từ 0-50% trong 30 phút)","Wi-Fi 6E(802.11ax) (Triple band) 2*2","Bluetooth 5.3","1x Type-C USB 4 (DisplayPort / power delivery) 1x USB 3.2 Gen 2 Type-C (DisplayPort) 2x USB 3.2 Gen 2 Type-A 1x Đầu đọc thẻ (microSD) (UHS-II) 1x HDMI 2.1 FRL1x 3.5mm Combo Audio Jack"
"Văn phòng","Laptop Dell XPS 13 9350",15000000,21,56,"dell","xps",0,"Sở hữu hiết kế siêu mỏng với độ dày chỉ 15 mm cùng kích thước 13.3 inch di động dễ dàng mang theo mọi nơi. Màn hình cảm ứng IPS cùng độ phân giải 3200 x 1800 pixels cho hình ảnh cực nét, chân thực. Cấu hình mạnh mẽ với chip Intel Core i7 và RAM 8 GB giúp máy chạy cùng lúc nhiều chương trình mà vẫn đảm bảo sự mượt mà. Ổ cứng SSD 256 GB có tốc độ truy xuất cao giúp khởi động máy hay sao chép dữ liệu nhanh chóng. Hệ điều hành Windows 10 bản quyền với giao diện đẹp và nhiều tính năng hữu ích.","Bạc","2023","Hàn Quốc","Intel HD Graphics","Intel Core i7 - 6500U up to 3.10 GHz, 4 MB cache","8GB","8 GB SDRAM DDR3 1600 MHz","8GB 8 GB SDRAM DDR3 1600 MHz","SSD 256 GB","256GB","","Tấm nền IPS","13.3 inches","InfinityEdge","3200 x 1800 pixels","High definition audio","","304 x 200 x 15 mm","1.27 kg","Wi-Fi 6, Màn hình cảm ứng","","","HD 720p","Windows 10","4-cell Li-Ion","Wi-Fi 802.11 b/g/n/ac","","USB"
"Văn phòng","Laptop LG Gram 2024 16Z90S-G.AH76A5",44990000,98,59,"lg","gram","4.4","Laptop có thiết kế mỏng nhẹ, lý tưởng cho những người thường xuyên di chuyển. Trang bị bộ vi xử lý Intel U7-155H, 16GB RAM và ổ cứng SSD 512GB PCIe có thể xử lý mượt mà các tác vụ văn phòng, học tập và giải trí nhẹ nhàng. Màn hình 16 inch độ phân giải WQXGA với tấm nền IPS và độ phủ màu DCI-P3 99% mang đến hình ảnh sắc nét, sống động và màu sắc chính xác. Cài đặt sẵn hệ điều hành Windows 11 mới nhất, mang đến trải nghiệm sử dụng hiện đại và hiệu quả.","Xám","2021","Singapore","Intel Arc Graphics","Intel Core Ultra U7-155H","16GB","LPDDR5X 7467MHz Onboard","16GB LPDDR5X 7467MHz Onboard 2 khe (8GB + 8GB)","512GB M.2(2280) Dual SSD slots, Gen 4.0 - trống 1 khe","512GB","60Hz","Tấm nền IPS","16 inches","Tỉ lệ 16:10Độ phủ màu DCI-P3 99% Màn hình chống chóiĐộ sáng 350 nit","2560 x 1600 (WQXGA)","Loa Stereo 2.0W x 2 Bộ khuếch đại thông minh (Tối đa 5W)Âm thanh HD với Dolby Atmos","","355.1 x 242.3 x 15.7 mm","1.21 kg","Wi-Fi 6, Nhận diện khuôn mặt","","Bảo mật SSD, fTPM/HW TPM (Tùy chọn) Khóa Kensington mỏng","Webcam FHD IR có Mic kép (Nhận diện khuôn mặt)","Windows 11 Home","77 Wh Li-Ion","Wi-Fi 6E (802.11ax) - AX211","Bluetooth 5.3","HDMI (4K@60Hz) 2x USB 3.2 Gen2x1 2x USB 4 Gen3x2 Type C (Sạc, DisplayPort, Thunderbolt 4) 4Pole Headset, US type 10/100 with RJ45 adapter (Option)"
"Gaming","Laptop Dell XPS 15 9520",14000000,79,27,"dell","xps","2.6","Tấm nền OLED hỗ trợ cảm ứng đa điểm, cho phép bạn thao tác trực tiếp lên màn hình Bộ vi xử lý Intel Core i9 12900HK cân mọi tác vụ công việc, thoải mái sáng tạo, khởi chạy những tác vụ nặng một cách mượt mà Card đồ họa NVIDIA GeForce RTX 3050 Ti hỗ trợ chỉnh sửa ảnh, video, dựng hình 3D, lập trình và nhiều hoạt động chuyên sâu khác RAM 16GB cùng ổ cứng SSD 512GB cho khả năng xử lý đa nhiệm, mở máy, mở ứng dụng chỉ trong tích tắc Cảm biến vân tay mở khóa máy ngay lập tức mà không cần mật khẩu","Bạc","2024","Nhật Bản","Intel Iris Xe  NVIDIA GeForce RTX 3050 Ti 4 GB GDDR6","Intel Core i9 - 12900HK (3.80 GHz, up to 5.00 GHz, 14 lõi / 20 luồng, 24 MB)","16GB","DDR5 4800 MHz (Tối đa 64 GB)","16GB DDR5 4800 MHz (Tối đa 64 GB) 2 khe 8GB","512 GB SSD M2. PCIe","512GB","","Tấm nền OLED/AMOLED","15.6 inches","Infinity Edge  Tần số quét 60 Hz  Độ sáng 400 nits  Độ phủ màu 100% DCI-P3","3456 x 2160 pixels","2 loa","Vỏ kim loại","344 x 230 x 19 mm","1.96 kg","Wi-Fi 6, Màn hình cảm ứng, Bảo mật vân tay","LED","","RGB HD Camera","Windows 11 Home","6 Cell","Wifi 802.11 ax","Bluetooth	v5.2","1x Đầu đọc thẻ  1x Jack 3.5 mm 1x Type C 2x Thunderbolt"
"Gaming","Laptop Dell XPS 9510",18000000,14,65,"dell","xps","4.1","Sở hữu thiết kế sang trọng với khung nhôm cứng cáp Màn hình 15.6 inch cùng tấm nền OLED cho độ phân giải 3456 x 2160 pixel màn nhãn với từng khung ảnh CPU Intel Core i7 11800H kết hợp RAM 16 GB cân mọi thao tác lướt web, thiết kế, chỉnh sửa chuyên nghiệp Ổ cứng SSD 1024GB cho không gian rộng rãi lưu trữ mọi file, dữ liệu Hỗ trợ cảm ứng siêu mượt giúp mọi thao tác thiết kế cực nhanh gọn","Trắng","2023","Đài Loan","Intel UHD Graphics  Nvidia Geforce RTX3050Ti","Intel Core i7 11800H (8 nhân / 16 luồng)","16GB","DDR4 bus 3200MHz (Nâng cấp tối đa 64GB)","16GB DDR4 bus 3200MHz (Nâng cấp tối đa 64GB)","SSD 1024GB M.2 2","1TB","","Tấm nền OLED/AMOLED","15.6 inches","Độ phủ màu 100% sRGB  Tần số quét 60 Hz","3456 x 2160 pixels","","Vỏ kim loại","344.40 x 230.30 x 18.00 mm (Dài x Rộng x Dày)","2.04 kg","Wi-Fi 6, Màn hình cảm ứng, Nhận diện khuôn mặt","","","720p","Window 10 Home","86 WHr","Killer AX1650s","","3x Type-C 1x Jack 3.5 mm 1x Thunderbolt"
"Gaming","Laptop ASUS TUF Gaming A15 FA506NF-HN005W",15990000,73,25,"asus","tuf","2.9","Bộ xử lý AMD Ryzen™ 5 mang tới hiệu năng mạnh mẽ cho mọi tác vụ Màn hình Full HD, tần số quét 144Hz hỗ trợ chơi game sống động với tốc độ nhanh Card Geforce RTX 2050 cải thiện hiệu suất xử lý đồ họa và đảm bảo trải nghiệm chơi game tuyệt vời RAM 8GB cùng ổ cứng 512 GB SSD rút ngắn thời gian mở máy, khởi động ứng dụng","Đen","2021","Hàn Quốc","NVIDIA® GeForce RTX™ 2050","AMD Ryzen™ 5 7535HS Processor 3.3GHz (19MB Cache, up to 4.55 GHz, 6 Nhân, 12 Luồng)","8GB","8GB DDR5-4800MHz","8GB 8GB DDR5-4800MHz  2 khe SO-DIMM (Nâng cấp tối đa 32GB)","512GB PCIe® 4.0 NVMe™ M.2 SSD","512GB","144 Hz","Tấm nền IPS","15.6 inches","Tần số quét 144HzĐộ sáng 250nits  Độ phủ màu: NTSC 45%, SRGB 62.5%, Adobe 47.34%  Màn hình chống chói  Adaptive-Sync","1920 x 1080 pixels (FullHD)","2 loa Công nghệ chống ồn trí tuệ nhân tạo (AI)Phần mềm DTSChứng nhận Hi-Res","","35.9 x 25.6 x 2.28 ~ 2.45 cm (W x D x H)","2.30 kg","Wi-Fi 6","Bàn phím Chiclet có đèn nền, hỗ trợ 1 vùng màu RGB","Mật khẩu quản trị BIOS và Bảo vệ mật khẩu người dùngKhe an toàn Kensington Security Slot™Module Nền tảng Tin cậy (TPM Firmware)","720P HD camera","Windows 11 Home","48WHrs, 3S1P, 3-cell Li-ion","Wi-Fi 6 (802.11ax) (Dual band) 2*2","Bluetooth 5.3","1x Cổng LAN RJ451x Cổng USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort™3x Cổng USB 3.2 Gen 2 Type-A"
