label,slug,title,discountPrice,soldQuantity,quantity,brand,series,totalRating,features,color,Năm ra mắt,Xuất xứ,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Mô tả ram,Ổ cứng,Dung lượng ổ cứng,Tần số quét,Chất liệu tấm nền,Kích thước màn hình,Công nghệ màn hình,Độ phân giải màn hình,Công nghệ âm thanh,Chất liệu,Kích thước,Trọng lượng,Tính năng đặc biệt,Loại đèn bàn phím,Bảo mật,Webcam,Hệ điều hành,Pin,Wi-Fi,Bluetooth,Cổng giao tiếp
Sinh viên,laptop-dell-latitude-e7440,Laptop Dell Latitude E7440,14000000,54,0,dell,latitude,0.0,"Trợ thủ đắc lực cho dân văn phòng với cân nặng chỉ 1.63kg dễ dàng bỏ vào balo Màn hình 14 inch độ phân giải 1366 x 768 px cho hình ảnh rõ nét, chất lượng cao CPU Core i5 giúp xử lý nhanh mọi tác vụ mượt mà RAM 8GB đa nhiệm cùng ổ cứng 128GB hỗ trợ mở máy, khởi động ứng dụng nhanh chóng Trang bị đa dạng cổng kết nối, hỗ trợ truyền tải dữ liệu chỉ trong giây lát",Đen,2023,Đài Loan,Intel HD Graphics 4400,"Intel Core i5-4300U (1.90 GHz,  Turbo Boost 2.9 GHz)",8GB,DDR3L 1600 MHz,8GB DDR3L 1600 MHz 2 khe RAM (Nâng cấp tối đa 16 GB),SSD 128GB,128GB,,,14 inches,,1366 x 768 pixels,Combo Microphone & Headphone,Vỏ nhựa,337 x 231.5 x 21 mm (Dài x Rộng x Dày),1.63 kg,,,,HD webcam,,4-cell Li-ion,,Có,1x Mini DisplayPort  1x HDMI 1x LAN (RJ45) 3x USB 3.0
Sinh viên,laptop-asus-vivobook-14-x1404za-nk075w,Laptop ASUS VivoBook 14 X1404ZA-NK075W,18000000,66,1,asus,vivobook,0.0,"Thiết kế mỏng nhẹ chỉ 1.4 kg dễ dàng bỏ vào balo mang đi khắp nơi. CPU Intel Core i3 1215U mạnh mẽ, cho tốc độ nhanh hơn, xử lý mượt mà hơn. RAM 8 GB thể thoải mái làm nhiều công việc cùng lúc mà không lo giật, lag. Ổ cứng SSD 256 GB giúp máy khởi động, tắt máy hay sao chép, di chuyển dữ liệu nhanh chóng.",Xanh,2024,Nhật Bản,Intel UHD Graphics,"Intel Core i3-1215U (1.2 GHz - 4.4 GHz, 10MB, 6 nhân / 8 luồng)",8GB,DDR4 Onboard,"8GB DDR4 Onboard 8GB Onboard + 2 Khe cắm, hỗ trợ tối đa 16GB",256GB SSD M.2 NVMe,256GB,60Hz,Tấm nền IPS,14 inches,"Tỷ lệ khung hình 16:9Đèn nền LEDTần số làm mới 60Hz 250nits Dải màu 45% NTSCMàn hình chống chói,",1920 x 1080 pixels (FullHD),SonicMasterLoa tích hợpMicrô array tích hợp hỗ trợ nhận dạng giọng Cortana,,32.49 x 21.39 x 1.79 cm,1.4 kg,Wi-Fi 6,,,720p HD webcam,Windows 11 Home,"42WHrs, 3S1P, Li-ion 3 pin",Wi-Fi 6E(802.11ax) (Băng tần kép) 1*1,Bluetooth 5.3,"1x USB 2.0 Type-A1x USB 3.2 Gen 1 Type-C 2x USB 3.2 Gen 1 Type-A1x HDMI 1.4 1x Giắc Âm thanh Kết hợp 3,5 mm 1x Nguồn vào DC"
Sinh viên,laptop-hp-pavilion-15-eg3112tu-8u6l9pa,Laptop HP Pavilion 15-EG3112TU 8U6L9PA,20000000,75,26,hp,pavilion,3.8,"Sở hữu thiết kế sang trọng với lớp vỏ màu bạc tinh tế Màn hình 15.6 inch Full HD cho hình ảnh sắc nét, màu sắc chân thực, hỗ trợ làm việc, học tập hay giải trí thoải mái CPU Intel Core i7-1335U đáp ứng tốt các tác vụ học tập và làm việc hay chỉnh sửa hình ảnh cơ bản Ổ cứng 512GB SSD cho không gian lưu trữ lớn, khởi động máy, mở ứng dụng nhanh chóng RAM 16GB cho phép laptop chạy nhiều tác vụ cùng lúc và xử lý dữ liệu mượt mà hơn Đầy đủ các cổng kết nối cho phép kết nối với các thiết bị ngoại vi dễ dàng",Bạc,2022,Trung Quốc,Intel Iris Xe Graphics,"Intel Core i7 - 1335U (3.70 GHz, up to 5.00 GHz)",16GB,DDR4 3200 MHz,"16GB DDR4 3200 MHz 2 khe (1 khe 8 GB + 1 khe 8 GB, hỗ trợ nâng cấp tối đa 32 GB)",512 GB SSD M2. PCIe,512GB,,Tấm nền IPS,15.6 inches,,1920 x 1080 pixels (FullHD),,Vỏ kim loại,360.2 x 234 x 18 mm (Dài x Rộng x Dày),1.69 kg,Wi-Fi 6,,,Camera HP Wide Vision HD,Windows 11 Home Single Language,3-cell,802.11 ax,Bluetooth 5.2,1x USB 3.2 Gen 2 2x USB 3.2 Gen 1 1x HDMI
Sinh viên,laptop-hp-pavilion-15-eg2082tu-7c0q5pa,Laptop HP Pavilion 15-EG2082TU 7C0Q5PA,12000000,66,10,hp,pavilion,3.0,"Hiệu suất ổn định với chip Intel Core i5-1240P thế hệ thứ 12 đáp ứng nhanh chóng các tác vụ văn phòng cùng việc học tập, giải trí cơ bản trên nền game nhẹ Tấm nền IPS trên màn hình rộng 15.6 inches cho trải nghiệm màu sắc chân thực, thoải mái Mọi thao tác trở nên mượt mà hơn với RAM 8GB đa nhiệm Sở hữu không gian lưu trữ thoải mái, khởi động máy nhanh hơn với ổ cứng SSD 512GB Đa dạng cổng giao tiếp, dễ dàng sử dụng",Vàng,2021,Singapore,Intel Iris Xe Graphics,Intel Core i5-1240P thế hệ thứ 12,8GB,DDR4 3200MHz,8GB DDR4 3200MHz  2 khe,512GB SSD M.2 NVMe,512GB,,Tấm nền IPS,15.6 inches,"15.6"" ( 1920 x 1080 ) Full HD, IPS",1920 x 1080 pixels (FullHD),,,36.02 x 23.4 x 1.79 cm,1.7 kg,Wi-Fi 6,,,HD webcam,Windows 11 Home SL,3 cell 41 Wh,WiFi 802.11ax (Wifi 6),v5.2,"1 x HDMI1 x USB Type C / DisplayPort / Power Delivery2 x USB 3.2,  Audio combo"
Sinh viên,laptop-hp-pavilion-x360-14-ek0132tu-7c0w4pa,Laptop HP Pavilion X360 14-EK0132TU 7C0W4PA,18000000,84,99,hp,pavilion,1.1,"Thiết kế sang trọng, cấu hình mạnh mẽ với màn hình có khả năng biến đổi linh hoạt xoay gập 360 độ giúp bạn sáng tạo và giải trí không giới hạn với mọi tư thế. Kích thước 14 inch, tấm nền IPS với độ phân giải Full HD cho góc nhìn chân thực, màu sắc sống động, hình ảnh chất lượng sắc nét hơn. Cấu hình chất lượng với bộ vi xử lý Intel core i7-1255U cùng card đồ họa Intel Iris Xe Graphics xử lý nhanh chóng mọi tác vụ học tập - văn phòng kể cả các tác vụ giải trí một cách mượt mà. RAM 16GB kết hợp với ổ cứng 512GB SSD cho không gian lưu trữ vô cùng thoải mái giúp các tác vụ đa nhiệm, khởi chạy, sao chép dữ liệu nhanh chóng. Tích hợp bảo mật vân tay, giúp bảo mật dữ liệu mở máy chỉ trong vài giây chỉ với một lần chạm. Hệ điều hành Windows 11 bản quyền đảm bảo cho quá trình sử dụng luôn luôn ổn định.",Vàng,2023,Nhật Bản,Intel Iris Xe Graphics,"Intel Core i7-1255U 10 nhân / 12 luồng, 12 MB Intel Smart Cache",16GB,DDR4 3200MHz,16GB DDR4 3200MHz,512GB SSD PCIe NVMe M.2,512GB,,Tấm nền IPS,14 inches,Màn hình kính tràn viền  Độ sáng 250 nits  Độ phủ màu 45% NTSC,1920 x 1080 pixels (FullHD),,,32.2 x 21 x 1.99 cm (W x D x H),1.51 kg,"Wi-Fi 6, Màn hình cảm ứng, Bảo mật vân tay",,Bảo mật vân tay,HP Wide Vision 720p HD,Windows 11 Home SL,"3 Cell, 43 WHrs Li-ion polymer",Intel Wi-Fi 6E AX211 (2x2),Bluetooth 5.2 Combo,"1x  USB Type-C (Sạc, DisplayPort 1.4, HP ngủ và sạc)  2x USB Type-A  1x HDMI 2.1  1x Đầu đọc thẻ nhớ SD đa định dạng  1x Headphone/microphone combo"
Sinh viên,laptop-lenovo-ideapad-slim-3-14iah8-83eq0004vn,Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0004VN,14000000,27,17,lenovo,ideapad,3.6,"Chip i5 12450H phù hợp với các tác vụ văn phòng cơ bản cho đến chỉnh sửa hình ảnh trên PTS Ram 8GB và ổ cứng SSD 512 mang đến tốc độ xử lí nhanh và khả năng lưu trữ lớn. Màn hình 14 inches với độ phân giải Full HD cho hình ảnh sống động, chân thực Trọng lượng chỉ gần 1.4 kg cho dễ dàng mang theo khi di chuyển",Xám,2023,Hàn Quốc,Integrated Intel UHD Graphics,"Intel Core i5-12450H (8C/ 12T, 2.00GHz up to 4.40GHz, 12MB)",8GB,LPDDR5-4800 Onboard,8GB LPDDR5-4800 Onboard,512GB M.2 2242 PCIe,512GB,60Hz,Tấm nền IPS,14 inches,Độ sáng tối đa 300 nits Chống chói,1920 x 1080 pixels (FullHD),Dolby Audio,Vỏ nhựa,324.3 x 213.8 x 17.9 mm,1.37 kg,Wi-Fi 6,,,FHD 1080p với màn trập bảo mật,Windows 11 Home,47 Wh,Wi-Fi 6 11ax 2x2,5.2,2 x USB 3.2 thế hệ 1 1 x USB-C 3.2 Gen 1 1x HDMI 1x Giắc cắm tai nghe 1 x Đầu đọc thẻ 1 x Đầu nối nguồn
Sinh viên,laptop-hp-elitebook-8470p,Laptop HP Elitebook 8470P,12000000,14,65,hp,elitebook,3.0,"Intel Graphics HD 4000 cùng chip i5 giúp bạn xử lý ổn thỏa các tác vụ văn phòng Màn hình 14 inch HD cho bạn xem phim, lướt web tốt RAM 4GB giúp việc mở ra nhiều tác vụ nhưng máy vẫn hoạt động ổn định Sở hữu nhiều cổng kết nối cơ bản giúp truyền xuất dữ liệu nhanh chóng",Bạc,2024,Trung Quốc,Intel Graphics HD 4000,"Intel Core i5-3320M (2.6 GHz,  Turbo Boost 3.5 GHz, 3 MB)",16GB,DDR3,16GB DDR3,128 GB SSD,128GB,,,14 inches,Màn hình chống chói,,,,322 x 210 x 19.9 mm (Dài x Rộng x Dày),2.4kg,Bảo mật vân tay,,,,Windows 7,,,,2 x USB 2.0 2 x USB 3.0 1 x VGA 1 x DisplayPort 1 x Đầu đọc thẻ 1 x E-sata
Sinh viên,laptop-hp-pavilion-15-eg2086tu-7c0q8pa,Laptop HP Pavilion 15-EG2086TU 7C0Q8PA,14000000,15,45,hp,pavilion,4.7,"Thiết kế tối giản với khung viền tinh tế cùng gam vàng thời thượng thu hút mọi ánh nhìn Viền máy mỏng giúp mở rộng tầm nhìn tối đa, khiến không gian xem đầy chân thật và sắc nét Màn hình 15.6 inch tấm nền IPS mang lại góc nhìn rộng cùng hình ảnh sắc nét Bộ xử lý I3-1215U đáp ứng tốt các tác vụ văn phòng và học tập Tốc độ truyền tải nhanh hơn, tiết kiệm điện và kéo dài thời gian sử dụng pin lâu hơn với RAM 8GB DDR4 3200MHz Trong lượng 1.75 kg đủ nhẹ thuận tiện mang theo và di chuyển",Vàng,2021,Singapore,Intel UHD Graphics,Intel Core i3-1215U Processor,8GB,DDR4 3200MHz,8GB DDR4 3200MHz 2 khe,256GB SSD PCIe® NVMe™ M.2,256GB,,Tấm nền IPS,15.6 inches,"IPS, 250nits, 45%NTSC, Micro-edge, BrightView",1920 x 1080 pixels (FullHD),,,36.02 x 23.4 x 1.79 cm,1.75 kg,,,,HP Wide Vision 720p HD Camera,Windows 11 Home SL,3 Cell 41WHrs,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v5.0,1 x HDMI 2.01 x headphone/microphone combo1x Type-C tốc độ truyền dữ liệu 10gbps2 x Type-A tốc độ truyền dữ liệu 5Gbps
Sinh viên,laptop-huawei-matebook-14,Laptop Huawei Matebook 14,12000000,90,1,huawei,matebook,3.2," Thiết kế sang trọng bằng kim loại với các khung viền được hoàn thiện vuông vức  Màn hình sắc nét với độ phân giải 2K, tấm nền IPS cho trải nghiệm ấn tượng  Hoạt động mượt mà với chip Intel i5, card đồ họa Iris, cân mọi tác vụ   Pin dung lượng lớn 56Wh, kết nối dễ dàng qua Huawei Share",Bạc,2024,Nhật Bản,Intel Iris Xe,Intel Core i5-1135G7 thế hệ 11,8GB,,8GB,Ổ cứng SSD NVMe PCIe 512 GB,512GB,,Tấm nền IPS,14 inches,"IPS, sRGB 100%",2160 x 1440 pixels,Loa x 2,Vỏ kim loại,"307,5 x 223,8 x 15,9 mm","1,49 kg",Wi-Fi 6,,,HD 720p,Windows 10 Home SL,56 Wh,IEEE 802.11a/b/g/n/ac/ax,v5.1,"USB-C x 1 (hỗ trợ dữ liệu, sạc và DisplayPort)   USB 3.2 Gen1 × 2   HDMI × 1   Tai nghe 3,5 mm và jack micrô x 1"
Sinh viên,surface-laptop-go,Surface Laptop Go Core i5 / 8GB / 128 GB / 12.4 inch Nhập Khẩu Chính Hãng,15790000,22,53,microsoft,surface,4.6," Thiết kế gọn gàng với trọng lượng chỉ hơn 1.1kg, được hoàn thiện từ vật liệu cao cấp   Trải nghiệm màn hình sắc nét và cực nhạy - Màn hình 12.4"""" nhỏ gọn, 1536x1024 pixels, hỗ trợ cảm ứng  Hiệu năng mượt mà với chip Intel Core i5 thế hệ 10, RAM 8GB ổ cứng SSD 128GB  Thưởng thức âm thanh đỉnh cao - Công nghệ âm thanh Dolby Audio cao cấp và hiện đại",Trắng,2023,Đài Loan,Intel UHD Graphics,10th Gen Intel Core i5 processor – 1035G1,8GB,LPDDR4x,8GB LPDDR4x,SSD: 128GB,128GB,,Tấm nền IPS,12.4 inches,"Công nghệ màn hình PixelSense, cảm ứng đa điểm",1536 x 1024 pixels,"Mics Studio trường xa kép, Loa Omnisonic với Dolby® Audio ™",,278.18 mm x 205.67 mm x 15.69 mm,"1,110 g","Viền màn hình siêu mỏng, Wi-Fi 6, Màn hình cảm ứng, Bảo mật vân tay",,,"Camera 720p, khẩu độ f2.0",Windows 10 Home in S mode,Lên đến 13 giờ (Tùy vào nhu cầu sử dụng),Wi-Fi 6: 802.11ax,Bluetooth Wireless 5.0,1 cổng USB-C  1 cổng USB-A  1 cổng 3.5 mm headphone jack  1 cổng Surface Connect port
